Id,Idade,Faixa idade,Gênero,Cor/raca/etnia,PCD,Vive no Brasil,Estado onde mora,UF onde mora,Região onde Mora,Nível de Ensino,Área de Formação,Qual sua situação atual de trabalho?,Setor,Numero de Funcionários,Cargo Atual,Nível,Faixa salarial,Quanto tempo de experiência na área de dados você tem?,Quanto tempo de experiência na área de TI/Engenharia de Software você teve antes de começar a trabalhar na área de dados?,Qual o número aproximado de pessoas que atuam com dados na sua empresa hoje?,Existe faculdade no Estado
iflt4dw0cmpau8or3tu4iflt4dwnomua,25,2,0,1,0,1,São Paulo (SP),23,Sudeste,2,2,Empregado (CLT),18,Acima de 3.000,3,2,13,5,2,0,1
igrkeqxnqyjbibwfoeigrkevgybdb1w8,31,3,0,1,0,1,São Paulo (SP),23,Sudeste,3,2,Empregado (CLT),13,Acima de 3.000,3,1,4,5,6,0,1
ihfmztidtfeuhcihfmzuel2zwf5jgnay,38,4,0,1,0,1,Paraná (PR),16,Sul,1,4,Empregado (CLT),8,Acima de 3.000,6,0,11,3,2,0,0
ihhiz54gzy3d86iw9t9sxp5sher6ox3w,26,2,0,1,0,1,Santa Catarina (SC),21,Sul,2,2,Vivo no Brasil e trabalho remoto para empresa de fora do Brasil,16,de 11 a 50,6,1,4,5,4,0,0
ihqfj1rfojn4zwnihqfkzmw1wpb4gfm0,33,3,0,4,0,1,São Paulo (SP),23,Sudeste,2,2,Empregado (CLT),16,de 501 a 1.000,6,2,4,0,0,0,1
iht5bg8yyi6wtgiht5b94on36nvko6ly,42,5,0,1,0,1,Santa Catarina (SC),21,Sul,2,8,Empreendedor ou Empregado (CNPJ),5,de 1.001 a 3.000,1,1,13,5,2,0,0
iifu0aitit2fb7aiifuy8s7dq9cs9mgh,23,1,0,4,0,1,São Paulo (SP),23,Sudeste,1,5,Empregado (CLT),5,de 501 a 1.000,2,1,11,3,2,0,1
ijqygc92kacbyue1opwjxijqso2bs5y4,34,3,1,1,0,1,São Paulo (SP),23,Sudeste,2,4,Empregado (CLT),19,Acima de 3.000,1,1,11,3,1,0,1
ijung0gxoaw97vypnijung6fb3z6m3kh,22,1,1,4,0,1,São Paulo (SP),23,Sudeste,1,6,Estagiário,17,de 501 a 1.000,0,0,2,1,1,0,1
iki83dv7bss3wjo63ikijakon68y31ru,27,2,1,4,0,1,Minas Gerais (MG),9,Sudeste,1,4,Estagiário,20,de 101 a 500,0,0,2,3,2,0,1
iknrvhncaziknre9hj4h7c53dr2vdzpe,27,2,1,1,0,1,São Paulo (SP),23,Sudeste,3,7,Empregado (CLT),1,Acima de 3.000,1,1,11,3,2,0,1
ikwexi4r919uasy6kjibflnikwexistq,28,2,0,4,0,1,Bahia (BA),3,Nordeste,3,2,Empregado (CLT),8,de 101 a 500,3,1,13,3,2,0,0
illfwsvfw1otvp2iqfillfwa2pxfzwbg,28,2,0,1,0,1,São Paulo (SP),23,Sudeste,0,2,Empregado (CLT),10,Acima de 3.000,6,1,4,5,2,0,1
im5l7sfyd26lmwyz7mnim5l7viznlf51,31,3,0,1,0,1,Rio Grande do Sul (RS),20,Sul,1,3,Empregado (CLT),4,de 1.001 a 3.000,1,1,12,4,2,0,0
in3oayedu8b34fartin3oml22xdfywj0,28,2,0,4,0,1,Espírito Santo (ES),6,Sudeste,1,2,Empregado (CLT),16,de 6 a 10,3,1,11,3,5,0,0
inan9ehdtinank6rxm6knii1bmxlijak,18,0,0,4,0,1,São Paulo (SP),23,Sudeste,0,2,Estagiário,16,de 1 a 5,3,0,2,1,3,0,1
inl19eyjmr7vyvinl1xyxoo2ynrqyt1g,22,1,0,1,0,1,São Paulo (SP),23,Sudeste,0,4,Empregado (CLT),20,de 51 a 100,6,1,11,4,2,0,1
inw39uf9kihccpcinw39hyjdboegxsd4,27,2,0,1,0,1,São Paulo (SP),23,Sudeste,1,7,Empregado (CLT),4,Acima de 3.000,1,2,13,5,2,0,1
iosdqdibo1vxsi1jfiosdqgqww41n0ly,26,2,0,4,0,1,São Paulo (SP),23,Sudeste,1,7,Empregado (CLT),15,de 11 a 50,1,2,11,4,3,0,1
iq2fyvql8jpm4zw9oiq2fy8rtosu648o,35,4,0,1,0,1,Rio Grande do Sul (RS),20,Sul,2,2,Empregado (CLT),4,Acima de 3.000,1,2,13,7,5,0,0
iq5t8872yq863skhor66dviq5t89apq1,24,1,0,1,0,1,Distrito Federal (DF),5,Centro-oeste,0,3,Empregado (CLT),7,de 11 a 50,1,0,2,4,2,0,0
